product_id,sku,product_name,description,category_id,price,retail_price,active,created_at
1,ELEC001,"Samsung Galaxy S23","Flagship Android smartphone with 128GB storage and AMOLED display.",1,999.99,1099.99,1,"2023-12-15 10:25:33"
2,ELEC002,"Apple MacBook Air M2","Lightweight laptop powered by the M2 chip, 8GB RAM, 256GB SSD.",1,1299.00,1399.00,1,"2024-01-22 14:10:48"
3,ELEC003,"Sony WH-1000XM5 Headphones","Noise-cancelling wireless headphones with 30-hour battery life.",1,379.99,429.99,1,"2024-03-05 09:42:15"
4,CLO001,"Men’s Slim Fit Jeans","Dark blue denim jeans with stretchable fabric.",2,59.99,79.99,1,"2024-03-28 17:21:54"
5,CLO002,"Women’s Summer Dress","Light floral cotton dress perfect for warm weather.",2,45.00,60.00,1,"2024-04-10 13:55:27"
6,CLO003,"Unisex Hoodie","Comfortable fleece hoodie available in multiple colors.",2,39.99,55.00,1,"2024-05-02 11:30:12"
7,BEAU001,"Hydrating Face Cream","Moisturizing face cream suitable for all skin types.",3,24.99,29.99,1,"2024-05-15 15:45:09"
8,BEAU002,"Organic Shampoo","Sulphate-free shampoo enriched with natural oils.",3,14.99,18.99,0,"2024-06-01 10:19:44"
9,BEAU003,"Matte Lipstick Set","Set of 3 matte lipsticks with long-lasting finish.",3,22.50,28.00,1,"2024-06-22 16:57:33"
10,TOY001,"LEGO Classic Set","Creative building block set with 500+ pieces.",4,39.99,49.99,1,"2024-07-04 12:15:18"
11,TOY002,"UNO Card Game","Classic card game suitable for family fun nights.",4,9.99,12.99,1,"2024-07-25 09:49:11"
12,TOY003,"RC Car Turbo Racer","Remote control car with rechargeable battery.",4,59.99,74.99,0,"2024-08-11 18:30:22"
13,FUR001,"Ergonomic Office Chair","Adjustable swivel chair with lumbar support.",5,149.00,179.00,1,"2024-09-03 10:05:59"
14,FUR002,"Wooden Coffee Table","Solid oak coffee table with modern finish.",5,199.99,229.99,1,"2024-09-22 14:45:16"
15,FUR003,"3-Seater Sofa","Comfortable fabric sofa with wooden legs.",5,499.00,549.00,1,"2024-10-05 20:12:33"
16,FOOD001,"Organic Green Tea (Pack of 50)","Refreshing and healthy green tea bags.",6,9.49,11.99,1,"2024-11-10 09:23:17"
17,FOOD002,"Whole Grain Pasta 1kg","High-fiber pasta made from 100% whole grains.",6,4.99,6.99,1,"2024-12-02 08:41:05"
18,FOOD003,"Almond Butter 500g","Creamy almond butter with no added sugar.",6,12.99,16.99,0,"2025-01-14 15:33:52"
19,FIT001,"Yoga Mat","Non-slip yoga mat made of eco-friendly materials.",7,29.99,39.99,1,"2025-02-03 11:14:09"
20,FIT002,"Adjustable Dumbbell Set","Pair of dumbbells adjustable from 5–25 lbs.",7,89.99,109.99,1,"2025-02-25 17:40:26"
21,OFF001,"Wireless Mouse","Ergonomic wireless mouse with long battery life.",8,19.99,24.99,1,"2025-03-08 12:22:47"
22,OFF002,"A4 Notebook Pack","Set of 5 ruled notebooks for everyday writing.",8,14.99,19.99,1,"2025-03-25 09:51:18"
