supplier_id,supplier_name,contact_name,email,phone,address,created_at
1,"TechNova Electronics","Ravi Mehta",ravi.mehta@technova.com,+1-416-555-9032,"120 Front St W, Toronto, ON M5J 1G6","2025-01-12 10:45:00"
2,"HomeEase Furniture Co.","Laura Bennett",laura.bennett@homeease.ca,+1-647-555-2764,"240 King St E, Toronto, ON M5A 1K1","2025-01-15 14:32:00"
3,"GreenLeaf Organics","Sanjay Kapoor",sanjay.kapoor@greenleaf.ca,+1-905-555-9321,"88 Dundas St W, Mississauga, ON L5B 1H7","2025-01-18 09:50:00"
4,"PixelPro Tech Supplies","Nora Williams",nora.williams@pixelpro.com,+1-437-555-6719,"50 Richmond St E, Toronto, ON M5C 1N7","2025-02-03 13:15:00"
5,"UrbanWear Apparel","Jaspreet Kaur",jaspreet.kaur@urbanwear.com,+1-289-555-8824,"190 Yonge St, Toronto, ON M5B 2H1","2025-02-10 11:40:00"
6,"EcoLight Solutions","Miguel Santos",miguel.santos@ecolight.ca,+1-613-555-9932,"22 Queen St, Ottawa, ON K1P 5C6","2025-02-25 16:05:00"
7,"PrimeTools Hardware","Sarah Johnson",sarah.johnson@primetools.ca,+1-519-555-7889,"320 Weber St N, Waterloo, ON N2J 3H8","2025-03-01 10:25:00"
8,"AquaPure Bottling Co.","Daniel Lee",daniel.lee@aquapure.ca,+1-905-555-4420,"78 Water St, Whitby, ON L1N 9T2","2025-03-10 08:55:00"
9,"NextGen Gadgets","Anjali Desai",anjali.desai@nextgen.com,+1-416-555-5591,"15 Spadina Ave, Toronto, ON M5V 2K8","2025-03-15 17:30:00"
10,"MapleWood Crafts","Oliver Martin",oliver.martin@maplewood.ca,+1-705-555-6627,"55 Bay St, Barrie, ON L4M 3A4","2025-03-20 12:00:00"
